Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_Length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,Preceeding,Following,Space_Hdwy,Time_Hdwy
2036,5791,536,1118847558000,38.381,38.6,6451123.491,1873327.921,15.5,6.9,2,32.1,0,4,2015,0,110.95,3.46
2036,5792,536,1118847558100,38.363,42.1,6451125.843,1873325.33,15.5,6.9,2,32.1,0,4,2015,0,110.93,3.46
2036,5793,536,1118847558200,38.345,45.6,6451128.196,1873322.738,15.5,6.9,2,32.1,0,4,2015,0,110.93,3.46
2036,5794,536,1118847558300,38.33,48.6,6451130.212,1873320.517,15.5,6.9,2,32.1,0,4,2015,0,111.46,3.47
2036,5795,536,1118847558400,38.312,52.101,6451132.565,1873317.925,15.5,6.9,2,32.1,0,4,2015,0,111.43,3.47
2036,5796,536,1118847558500,38.297,55.123,6451134.561,1873315.726,15.5,6.9,2,32.1,1.67,4,2015,0,111.75,3.48
2036,5797,536,1118847558600,38.271,58.318,6451136.731,1873313.35,15.5,6.9,2,32.39,5.45,4,2015,0,111.85,3.45
2036,5798,536,1118847558700,38.263,61.586,6451138.93,1873310.914,15.5,6.9,2,32.79,4.1,4,2015,0,111.92,3.41
2036,5799,536,1118847558800,38.246,64.922,6451141.201,1873308.412,15.5,6.9,2,32.95,-1.42,4,2015,0,112.06,3.4
2036,5800,536,1118847558900,38.229,68.213,6451143.421,1873305.966,15.5,6.9,2,32.88,-1.38,4,2015,0,112.29,3.42
2036,5801,536,1118847559000,38.213,71.47,6451145.569,1873303.6,15.5,6.9,2,32.98,2.75,4,2015,0,112.54,3.41
2036,5802,536,1118847559100,38.183,74.76,6451147.787,1873301.176,15.5,6.9,2,33.34,5.7,4,2015,0,112.74,3.38
2036,5803,536,1118847559200,38.178,78.137,6451150.059,1873298.654,15.5,6.9,2,33.72,2.95,4,2015,0,112.87,3.35
2036,5804,536,1118847559300,38.161,81.562,6451152.374,1873296.104,15.5,6.9,2,33.72,-2.94,4,2015,0,112.94,3.35
2036,5805,536,1118847559400,38.157,84.975,6451154.646,1873293.581,15.5,6.9,2,32.97,-11.2,4,2015,0,113.03,3.43
2036,5806,536,1118847559500,38.126,88.2,6451156.864,1873291.158,15.5,6.9,2,31.76,-11.2,4,2015,0,113.3,3.57
2036,5807,536,1118847559600,38.11,91.271,6451159.012,1873288.791,15.5,6.9,2,31.17,-2.34,4,2015,0,113.73,3.65
2036,5808,536,1118847559700,38.117,94.297,6451161.23,1873286.368,15.5,6.9,2,31.62,11.2,4,2015,2043,114.2,3.61
2036,5809,536,1118847559800,38.161,97.53,6451163.494,1873283.869,15.5,6.9,2,32.84,11.2,4,2015,2043,114.44,3.48
2036,5810,536,1118847559900,38.213,100.888,6451165.824,1873281.288,15.5,6.9,2,34.02,7.19,4,2015,2043,114.58,3.37
2036,5811,536,1118847560000,38.292,104.406,6451168.155,1873278.666,15.5,6.9,2,34.29,-3.58,4,2015,2043,114.73,3.35
2036,5812,536,1118847560100,38.374,107.834,6451170.422,1873276.108,15.5,6.9,2,33.87,-5.65,4,2015,2043,115.12,3.4
2036,5813,536,1118847560200,38.448,111.185,6451172.643,1873273.612,15.5,6.9,2,33.4,-4.19,4,2015,2043,115.72,3.46
2036,5814,536,1118847560300,38.495,114.488,6451174.854,1873271.167,15.5,6.9,2,33.1,-1.71,4,2015,2043,116.2,3.51
2036,5815,536,1118847560400,38.529,117.778,6451177.071,1873268.734,15.5,6.9,2,32.99,-0.23,4,2015,2043,116.73,3.54
2036,5816,536,1118847560500,38.569,121.073,6451179.289,1873266.291,15.5,6.9,2,32.98,0.16,4,2015,2043,117.47,3.56
2036,5817,536,1118847560600,38.609,124.373,6451181.507,1873263.847,15.5,6.9,2,32.98,-0.06,4,2015,2043,118.32,3.59
2036,5818,536,1118847560700,38.649,127.672,6451183.725,1873261.404,15.5,6.9,2,32.97,-0.18,4,2015,2043,119.46,3.62
2036,5819,536,1118847560800,38.689,130.959,6451185.943,1873258.961,15.5,6.9,2,33.05,1.26,4,2015,2043,120.56,3.65
2036,5820,536,1118847560900,38.736,134.244,6451188.146,1873256.524,15.5,6.9,2,33.41,5.4,4,2015,2043,121.57,3.64
2036,5821,536,1118847561000,38.732,137.576,6451190.401,1873254.105,15.5,6.9,2,34.23,10.93,4,2015,2043,122.35,3.57
2036,5822,536,1118847561100,38.715,141.07,6451192.76,1873251.595,15.5,6.9,2,35.51,11.2,4,2015,2043,122.79,3.46
2036,5823,536,1118847561200,38.735,144.691,6451195.218,1873248.923,15.5,6.9,2,36.93,11.2,4,2015,2043,122.93,3.33
2036,5824,536,1118847561300,38.782,148.475,6451197.763,1873246.118,15.5,6.9,2,37.84,5.59,4,2015,2043,122.72,3.24
2036,5825,536,1118847561400,38.882,152.361,6451200.404,1873243.132,15.5,6.9,2,37.83,-5.82,4,2015,2043,122.3,3.23
2036,5826,536,1118847561500,38.959,156.142,6451202.924,1873240.31,15.5,6.9,2,36.92,-11.2,4,2015,2043,122,3.3
2036,5827,536,1118847561600,38.974,159.742,6451205.382,1873237.646,15.5,6.9,2,35.25,-11.2,4,2015,2043,121.84,3.46
2036,5828,536,1118847561700,38.969,163.172,6451207.732,1873235.127,15.5,6.9,2,33.41,-11.2,4,2015,2043,121.71,3.64
2036,5829,536,1118847561800,38.867,166.441,6451210.066,1873232.767,15.5,6.9,2,32.26,-7.9,4,2015,2043,121.62,3.77
2036,5830,536,1118847561900,38.772,169.553,6451212.438,1873230.403,15.5,6.9,2,32.03,4.1,4,2015,2043,121.54,3.79
2036,5831,536,1118847562000,38.71,172.73,6451214.801,1873228.023,15.5,6.9,2,32.52,9.3,4,2015,2043,121.39,3.73
2036,5832,536,1118847562100,38.649,176.055,6451217.164,1873225.643,15.5,6.9,2,33.21,4.45,4,2015,2043,121.17,3.65
2036,5833,536,1118847562200,38.587,179.434,6451219.526,1873223.264,15.5,6.9,2,33.49,0,4,2015,2043,121,3.61
2036,5834,536,1118847562300,38.525,182.763,6451221.889,1873220.884,15.5,6.9,2,33.69,3.21,4,2015,2043,120.92,3.59
2036,5835,536,1118847562400,38.461,186.113,6451224.225,1873218.536,15.5,6.9,2,34.31,8.76,4,2015,2043,120.78,3.52
2036,5836,536,1118847562500,38.358,189.584,6451226.669,1873216.131,15.5,6.9,2,35.42,11.2,4,2015,2043,120.47,3.4
2036,5837,536,1118847562600,38.333,193.206,6451229.189,1873213.534,15.5,6.9,2,36.91,11.2,4,2015,2043,120.02,3.25
2036,5838,536,1118847562700,38.343,196.963,6451231.781,1873210.811,15.5,6.9,2,38.36,11.2,4,2015,2043,119.48,3.11
2036,5839,536,1118847562800,38.396,200.889,6451234.486,1873207.907,15.5,6.9,2,39.26,5.75,4,2015,2043,118.78,3.03
2036,5840,536,1118847562900,38.526,204.906,6451237.194,1873204.889,15.5,6.9,2,39.38,-3.55,4,2015,2043,117.95,3
2036,5841,536,1118847563000,38.685,208.876,6451239.82,1873201.915,15.5,6.9,2,38.73,-10.44,4,2015,2043,117.17,3.03
2036,5842,536,1118847563100,38.782,212.699,6451242.392,1873199.088,15.5,6.9,2,37.63,-11.2,4,2015,2043,116.61,3.1
2036,5843,536,1118847563200,38.838,216.396,6451244.913,1873196.372,15.5,6.9,2,36.57,-9.57,4,2015,2043,116.34,3.18
2036,5844,536,1118847563300,38.837,219.976,6451247.365,1873193.811,15.5,6.9,2,35.86,-4.97,4,2015,2043,116.3,3.24
2036,5845,536,1118847563400,38.818,223.536,6451249.819,1873191.275,15.5,6.9,2,35.29,-4.98,4,2015,2043,116.45,3.3
2036,5846,536,1118847563500,38.811,227.052,6451252.28,1873188.713,15.5,6.9,2,34.09,-11.2,4,2015,2043,116.7,3.42
2036,5847,536,1118847563600,38.804,230.353,6451254.74,1873186.152,15.5,6.9,2,32.39,-11.2,4,2015,2043,116.94,3.61
2036,5848,536,1118847563700,38.786,233.514,6451257.2,1873183.591,15.5,6.9,2,31.44,-5.1,4,2015,2043,117.18,3.73
2036,5849,536,1118847563800,38.918,236.55,6451259.66,1873181.03,15.5,6.9,2,31.81,11.2,4,2015,2043,117.44,3.69
2036,5850,536,1118847563900,39.051,239.819,6451262.119,1873178.468,15.5,6.9,2,33.4,11.2,4,2015,2043,117.64,3.52
2036,5851,536,1118847564000,39.174,243.23,6451264.567,1873175.931,15.5,6.9,2,35.35,11.2,4,2015,2043,117.85,3.33
2036,5852,536,1118847564100,39.288,246.841,6451267.053,1873173.37,15.5,6.9,2,36.68,9.91,4,2015,2043,117.95,3.22
2036,5853,536,1118847564200,39.459,250.552,6451269.606,1873170.664,15.5,6.9,2,37.73,11.2,4,2015,2043,117.81,3.12
2036,5854,536,1118847564300,39.678,254.389,6451272.208,1873167.845,15.5,6.9,2,38.78,9.74,4,2015,2043,117.47,3.03
2036,5855,536,1118847564400,39.95,258.344,6451274.882,1873164.882,15.5,6.9,2,39.52,5.34,4,2015,2043,117.01,2.96
2036,5856,536,1118847564500,40.232,262.35,6451277.574,1873161.888,15.5,6.9,2,39.88,1.42,4,2015,2043,116.5,2.92
2036,5857,536,1118847564600,40.494,266.36,6451280.262,1873158.926,15.5,6.9,2,39.96,-0.38,4,2015,2043,115.99,2.9
2036,5858,536,1118847564700,40.684,270.353,6451283.005,1873156.01,15.5,6.9,2,39.94,-0.13,4,2015,2043,115.49,2.89
2036,5859,536,1118847564800,40.803,274.344,6451285.787,1873153.156,15.5,6.9,2,39.93,0.09,4,2015,2043,115,2.88
2036,5860,536,1118847564900,40.85,278.347,6451288.624,1873150.349,15.5,6.9,2,39.85,-1.26,4,2015,2043,114.5,2.87
2036,5861,536,1118847565000,40.915,282.341,6451291.465,1873147.512,15.5,6.9,2,39.59,-3.79,4,2015,2043,114,2.88
2036,5862,536,1118847565100,40.934,286.288,6451294.305,1873144.742,15.5,6.9,2,39.2,-4.7,4,2015,2043,113.55,2.9
2036,5863,536,1118847565200,40.823,290.171,6451297.161,1873142.136,15.5,6.9,2,38.89,-2.22,4,2015,2043,113.17,2.91
2036,5864,536,1118847565300,40.663,294.031,6451300.023,1873139.592,15.5,6.9,2,38.78,0.52,4,2015,2043,112.81,2.91
2036,5865,536,1118847565400,40.556,297.92,6451302.897,1873136.963,15.5,6.9,2,38.69,-1.1,4,2015,2043,112.42,2.91
2036,5866,536,1118847565500,40.609,301.819,6451305.687,1873134.193,15.5,6.9,2,38.28,-6.8,4,2015,2043,112.02,2.93
2036,5867,536,1118847565600,40.675,305.637,6451308.403,1873131.476,15.5,6.9,2,37.49,-10.12,4,2015,2043,111.7,2.98
2036,5868,536,1118847565700,40.65,309.318,6451311.063,1873128.94,15.5,6.9,2,36.71,-6.93,4,2015,2043,111.52,3.04
2036,5869,536,1118847565800,40.636,312.915,6451313.613,1873126.495,15.5,6.9,2,36.31,-0.8,4,2015,2043,111.42,3.07
2036,5870,536,1118847565900,40.624,316.515,6451316.227,1873123.985,15.5,6.9,2,36.35,2.78,4,2015,2043,111.32,3.06
2036,5871,536,1118847566000,40.615,320.165,6451318.871,1873121.442,15.5,6.9,2,36.58,2.19,4,2015,2043,111.17,3.04
2036,5872,536,1118847566100,40.607,323.849,6451321.523,1873118.89,15.5,6.9,2,36.71,0.13,4,2015,2043,110.99,3.02
2036,5873,536,1118847566200,40.598,327.536,6451324.175,1873116.339,15.5,6.9,2,36.6,-2.12,4,2015,2043,110.79,3.03
2036,5874,536,1118847566300,40.59,331.2,6451326.819,1873113.795,15.5,6.9,2,36.27,-4.41,4,2015,2043,110.61,3.05
2036,5875,536,1118847566400,40.595,334.8,6451329.43,1873111.264,15.5,6.9,2,35.92,-3.56,4,2015,2043,110.5,3.08
2036,5876,536,1118847566500,40.572,338.34,6451331.973,1873108.838,15.5,6.9,2,35.89,1.95,4,2015,2043,110.51,3.08
